Num,BNB,MNB,kNN,Ridge,SCGl1,SCGl2,SCGelas,SVCl1,SCVl2,Logl1,Logl2,,,,,,
717,0.846191831,0.855173342,0.851274829,0.885211396,0.864706576,0.866462295,0.866052853,0.833493696,0.871759911,0.848586936,0.872427169,,,,,,
680,0.841914802,0.845386853,0.839148532,0.877573184,0.844870001,0.850307365,0.856203234,0.823522245,0.8566705,0.828760394,0.85594946,,,,,,
650,0.835676682,0.846688247,0.833512964,0.880698636,0.861355225,0.855699994,0.851802572,0.837163476,0.862618319,0.828088374,0.855548015,,,,,,
614,0.827018121,0.835589682,0.827083397,0.87562007,0.838589365,0.847379483,0.844468095,0.806685822,0.854892439,0.812163124,0.862477633,,,,,,
577,0.817955036,0.822980689,0.833400734,0.869584446,0.83142313,0.848927159,0.854528475,0.818202706,0.85131511,0.818870883,0.859891251,,,,,,
542,0.81446681,0.824245713,0.806956311,0.854144537,0.824253619,0.855324088,0.856493904,0.805368142,0.857133687,0.79523459,0.857830307,,,,,,
505,0.81450593,0.826024936,0.818194795,0.862248125,0.833630094,0.843496179,0.847538248,0.796932158,0.855041344,0.820372619,0.843349072,,,,,,
468,0.807492022,0.800455436,0.778811279,0.8503796,0.821183429,0.834503402,0.834905318,0.795218828,0.831906335,0.796639634,0.824138097,,,,,,
433,0.827770606,0.827642538,0.781854924,0.862245564,0.822433006,0.839613799,0.838844494,0.80663259,0.844347665,0.823105739,0.834712062,,,,,,
396,0.793176437,0.804577138,0.746874787,0.844994243,0.810989232,0.826466775,0.819543678,0.789621972,0.832415649,0.784641401,0.8180231,,,,,,
355,0.813822167,0.798066622,0.777738867,0.854240823,0.796378034,0.855760469,0.853866041,0.810337072,0.844487207,0.788658201,0.841993482,,,,,,
319,0.75962716,0.796620779,0.739675505,0.843971685,0.815626106,0.837563096,0.811318985,0.795413728,0.841523788,0.758809226,0.824085407,,,,,,
284,0.751111988,0.769978994,0.706040722,0.812981505,0.813456359,0.79815968,0.820500277,0.739906564,0.817084605,0.757240832,0.785213817,,,,,,
247,0.747890644,0.772871027,0.693821588,0.802350015,0.777085274,0.805100686,0.817771418,0.794670502,0.817202265,0.76311505,0.780753995,,,,,,
212,0.707815884,0.768744435,0.756324723,0.82985455,0.803742665,0.822385842,0.851735326,0.775309722,0.830546549,0.774088528,0.789870951,,,,,,
178,0.673860878,0.737299041,0.719661998,0.835184534,0.751741024,0.791607588,0.80283414,0.767738223,0.817013751,0.804771055,0.791018148,,,,,,
143,0.595841337,0.711136788,0.638102878,0.765712952,0.773638789,0.772779112,0.780191076,0.691454582,0.78247599,0.726426237,0.73345905,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Num,717,680,650,614,577,542,505,468,433,396,355,319,284,247,212,178,143
BNB,0.846191831,0.841914802,0.835676682,0.827018121,0.817955036,0.81446681,0.81450593,0.807492022,0.827770606,0.793176437,0.813822167,0.75962716,0.751111988,0.747890644,0.707815884,0.673860878,0.595841337
MNB,0.855173342,0.845386853,0.846688247,0.835589682,0.822980689,0.824245713,0.826024936,0.800455436,0.827642538,0.804577138,0.798066622,0.796620779,0.769978994,0.772871027,0.768744435,0.737299041,0.711136788
kNN,0.851274829,0.839148532,0.833512964,0.827083397,0.833400734,0.806956311,0.818194795,0.778811279,0.781854924,0.746874787,0.777738867,0.739675505,0.706040722,0.693821588,0.756324723,0.719661998,0.638102878
Ridge,0.885211396,0.877573184,0.880698636,0.87562007,0.869584446,0.854144537,0.862248125,0.8503796,0.862245564,0.844994243,0.854240823,0.843971685,0.812981505,0.802350015,0.82985455,0.835184534,0.765712952
SCGl1,0.864706576,0.844870001,0.861355225,0.838589365,0.83142313,0.824253619,0.833630094,0.821183429,0.822433006,0.810989232,0.796378034,0.815626106,0.813456359,0.777085274,0.803742665,0.751741024,0.773638789
SCGl2,0.866462295,0.850307365,0.855699994,0.847379483,0.848927159,0.855324088,0.843496179,0.834503402,0.839613799,0.826466775,0.855760469,0.837563096,0.79815968,0.805100686,0.822385842,0.791607588,0.772779112
SCGelas,0.866052853,0.856203234,0.851802572,0.844468095,0.854528475,0.856493904,0.847538248,0.834905318,0.838844494,0.819543678,0.853866041,0.811318985,0.820500277,0.817771418,0.851735326,0.80283414,0.780191076
SVCl1,0.833493696,0.823522245,0.837163476,0.806685822,0.818202706,0.805368142,0.796932158,0.795218828,0.80663259,0.789621972,0.810337072,0.795413728,0.739906564,0.794670502,0.775309722,0.767738223,0.691454582
SCVl2,0.871759911,0.8566705,0.862618319,0.854892439,0.85131511,0.857133687,0.855041344,0.831906335,0.844347665,0.832415649,0.844487207,0.841523788,0.817084605,0.817202265,0.830546549,0.817013751,0.78247599
Logl1,0.848586936,0.828760394,0.828088374,0.812163124,0.818870883,0.79523459,0.820372619,0.796639634,0.823105739,0.784641401,0.788658201,0.758809226,0.757240832,0.76311505,0.774088528,0.804771055,0.726426237
Logl2,0.872427169,0.85594946,0.855548015,0.862477633,0.859891251,0.857830307,0.843349072,0.824138097,0.834712062,0.8180231,0.841993482,0.824085407,0.785213817,0.780753995,0.789870951,0.791018148,0.73345905
