classifier,samplenum,sample,featurenum,f1,f5,time,,,,
NB,85,10,1135,0.622426409,0.637618315,29.48799992,28.09099984,,,
NB,125,15,1367,0.718768465,0.740298583,,,,,
NB,159,20,1543,0.793868265,0.816660062,,,,,
NB,197,25,1701,0.822359708,0.836173442,,,,,
NB,233,30,1841,0.821702846,0.83351517,,,,,
NB,271,35,1997,0.83008099,0.839316325,,,,,
NB,310,40,2105,0.827678519,0.838039691,,,,,
NB,348,45,2222,0.831413123,0.839145609,,,,,
NB,387,50,2298,0.840286813,0.846841595,,,,,
NB,431,55,2391,0.834909557,0.842929817,,,,,
NB,470,60,2487,0.85382371,0.861132095,,,,,
NB,508,65,2564,0.852597579,0.859020547,,,,,
NB,545,70,2650,0.864818684,0.870986984,,,,,
NB,585,75,2707,0.862727493,0.868064731,,,,,
NB,622,80,2761,0.868207654,0.87389522,,,,,
NB,662,85,2812,0.867764483,0.873636894,,,,,
NB,700,90,2868,0.868385748,0.873850237,,,,,
NB,733,95,2913,0.867540929,0.872703075,,,,,
NB,772,100,2953,0.875543059,0.881147739,,,,,
Ridge,85,10,1135,0.726170652,0.73322421,199.7540002,202.263,,,
Ridge,125,15,1367,0.772393011,0.776594782,,,,,
Ridge,159,20,1543,0.815807146,0.818871831,,,,,
Ridge,197,25,1701,0.843604432,0.844030823,,,,,
Ridge,233,30,1841,0.85721413,0.861169276,,,,,
Ridge,271,35,1997,0.839586038,0.844116205,,,,,
Ridge,310,40,2105,0.861807197,0.86703939,,,,,
Ridge,348,45,2222,0.872360101,0.877346834,,,,,
Ridge,387,50,2298,0.876521263,0.880740115,,,,,
Ridge,431,55,2391,0.876137388,0.883104009,,,,,
Ridge,470,60,2487,0.88278243,0.888242614,,,,,
Ridge,508,65,2564,0.885255323,0.890526777,,,,,
Ridge,545,70,2650,0.887617957,0.892832244,,,,,
Ridge,585,75,2707,0.887668215,0.892207047,,,,,
Ridge,622,80,2761,0.88607793,0.890931665,,,,,
Ridge,662,85,2812,0.883864194,0.888863961,,,,,
Ridge,700,90,2868,0.890939986,0.895244444,,,,,
Ridge,733,95,2913,0.891429765,0.896107031,,,,,
Ridge,772,100,2953,0.901514662,0.905818344,,,,,
kNN,85,10,1135,0.532075876,0.543132712,33.40999985,34.79299998,,,
kNN,125,15,1367,0.689912662,0.703184318,,,,,
kNN,159,20,1543,0.768330945,0.780524606,,,,,
kNN,197,25,1701,0.771999631,0.782976963,,,,,
kNN,233,30,1841,0.781171991,0.790843129,,,,,
kNN,271,35,1997,0.754670773,0.761957746,,,,,
kNN,310,40,2105,0.778423483,0.785787823,,,,,
kNN,348,45,2222,0.791519512,0.798428725,,,,,
kNN,387,50,2298,0.816618012,0.823233994,,,,,
kNN,431,55,2391,0.81403551,0.81948254,,,,,
kNN,470,60,2487,0.843119676,0.849589296,,,,,
kNN,508,65,2564,0.839151912,0.845962509,,,,,
kNN,545,70,2650,0.856707365,0.863662599,,,,,
kNN,585,75,2707,0.854556436,0.860732187,,,,,
kNN,622,80,2761,0.858667635,0.865981246,,,,,
kNN,662,85,2812,0.855518295,0.860625891,,,,,
kNN,700,90,2868,0.862103542,0.867837006,,,,,
kNN,733,95,2913,0.867447039,0.872750894,,,,,
kNN,772,100,2953,0.874905072,0.880520957,,,,C=1000,
LSVM,85,10,1135,0.657536624,0.654256663,170.217,174.2869999,,0.743815221,0.7530339
LSVM,125,15,1367,0.75187136,0.753563089,,,,0.804603094,0.811243228
LSVM,159,20,1543,0.802990154,0.806627662,,,,0.838386322,0.845056698
LSVM,197,25,1701,0.81222673,0.808270697,,,,0.873466824,0.876090027
LSVM,233,30,1841,0.822785618,0.823163136,,,,0.875572807,0.880246292
LSVM,271,35,1997,0.817393185,0.820268516,,,,0.858074831,0.864192604
LSVM,310,40,2105,0.845478599,0.849394171,,,,0.861443789,0.867050886
LSVM,348,45,2222,0.847621877,0.851631507,,,,0.871149232,0.876557086
LSVM,387,50,2298,0.861344133,0.863693899,,,,0.875496298,0.879494821
LSVM,431,55,2391,0.866913576,0.873194514,,,,0.87503547,0.882066839
LSVM,470,60,2487,0.872386659,0.876945129,,,,0.874150974,0.879273568
LSVM,508,65,2564,0.880904966,0.886015458,,,,0.874067742,0.878895709
LSVM,545,70,2650,0.883349133,0.888319083,,,,0.87858848,0.883648617
LSVM,585,75,2707,0.882301327,0.886525185,,,,0.875829594,0.879874087
LSVM,622,80,2761,0.881642044,0.886636059,,,,0.874694585,0.87979092
LSVM,662,85,2812,0.88160086,0.886879633,,,,0.877689728,0.882793256
LSVM,700,90,2868,0.888984992,0.893317279,,,,0.884629568,0.888655584
LSVM,733,95,2913,0.890727134,0.895725202,,,,0.883367027,0.887692453
LSVM,772,100,2953,0.899015962,0.903300615,,,,0.892159045,0.896528053
Tree,85,10,1135,0.380372716,,1120.272,0.363121988,786.335,,
Tree,125,15,1367,0.468595793,,,0.458617395,,,
Tree,159,20,1543,0.549067557,,,0.49769272,,,
Tree,197,25,1701,0.578672866,,,0.526549217,,,
Tree,233,30,1841,0.548399962,,,0.507007812,,,
Tree,271,35,1997,0.555717668,,,0.508787056,,,
Tree,310,40,2105,0.544553233,,,0.524047042,,,
Tree,348,45,2222,0.559454019,,,0.521997772,,,
Tree,387,50,2298,0.560191087,,,0.519819525,,,
Tree,431,55,2391,0.569122725,,,0.551767548,,,
Tree,470,60,2487,0.583746487,,,0.564239989,,,
Tree,508,65,2564,0.58509652,,,0.550899564,,,
Tree,545,70,2650,0.593814847,,,0.551092815,,,
Tree,585,75,2707,0.580583294,,,0.537913136,,,
Tree,622,80,2761,0.599598091,,,0.564224432,,,
Tree,662,85,2812,0.605667691,,,0.547964303,,,
Tree,700,90,2868,0.612610904,,,0.564121353,,,
Tree,733,95,2913,0.617454415,,,0.554915716,,,
Tree,772,100,2953,0.631738649,,,0.562282133,,C=1000,gamma=0
SVM,85,10,1135,0.53179182,762.573,,,,0.544229707,772.151
SVM,125,15,1367,0.652744549,,,,,0.657820206,
SVM,159,20,1543,0.746348928,,,,,0.738797929,
SVM,197,25,1701,0.772998523,,,,,0.751347305,
SVM,233,30,1841,0.791229433,,,,,0.770616084,
SVM,271,35,1997,0.786734874,,,,,0.754148249,
SVM,310,40,2105,0.809070739,,,,,0.779733295,
SVM,348,45,2222,0.816922315,,,,,0.791388866,
SVM,387,50,2298,0.822674816,,,,,0.803988688,
SVM,431,55,2391,0.834430687,,,,,0.816179061,
SVM,470,60,2487,0.841751771,,,,,0.825487961,
SVM,508,65,2564,0.836529057,,,,,0.83072169,
SVM,545,70,2650,0.852138078,,,,,0.840897062,
SVM,585,75,2707,0.843523723,,,,,0.836636952,
SVM,622,80,2761,0.85096308,,,,,0.847035257,
SVM,662,85,2812,0.857424839,,,,,0.84522446,
SVM,700,90,2868,0.857997695,,,,,0.845759076,
SVM,733,95,2913,0.859890091,,,,,0.849003063,
SVM,772,100,2953,0.870675449,,,,,0.857757404,
