classifier,k,f1
kNN,1,0.740286456
kNN,3,0.791735772
kNN,5,0.812735516
kNN,7,0.827814204
kNN,9,0.834728911
kNN,11,0.839170532
kNN,13,0.848080331
kNN,15,0.850566948
kNN,17,0.848704916
kNN,19,0.850115672
kNN,21,0.845150951
kNN,23,0.849293766
kNN,25,0.84309649
kNN,27,0.848183715
kNN,29,0.839949353
kNN,31,0.838932421
kNN,33,0.827772467
kNN,35,0.825793322
kNN,37,0.817088325
kNN,39,0.810111437
kNN,41,0.806492918
kNN,43,0.800582988
kNN,45,0.80022625
kNN,47,0.794601653
kNN,49,0.799515951
kNN,51,0.792298314
kNN,53,0.790213248
kNN,55,0.78065466
